Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginSuite,Chrome 70.0.3538.77,,2018-11-08 15:37:19,2018-11-08 15:37:27,8.788s,PASSED
,,,,,,
Test Cases/testapi,Chrome 70.0.3538.77,,2018-11-08 15:37:19,2018-11-08 15:37:20,1.433s,PASSED
sendRequest,Chrome 70.0.3538.77,,2018-11-08 15:37:19,2018-11-08 15:37:20,1.133s,PASSED
,,,,,,
Test Cases/logintcselenium,Chrome 70.0.3538.77,,2018-11-08 15:37:20,2018-11-08 15:37:24,3.826s,PASSED
runFeatureFile,Chrome 70.0.3538.77,,2018-11-08 15:37:20,2018-11-08 15:37:24,3.703s,PASSED
,,,,,,
Test Cases/logintc,Chrome 70.0.3538.77,,2018-11-08 15:37:24,2018-11-08 15:37:27,3.233s,PASSED
runFeatureFile,Chrome 70.0.3538.77,,2018-11-08 15:37:24,2018-11-08 15:37:27,3.105s,PASSED
